"api_number","reported_on","barrels_oil","mcf_gas","barrels_water","days_producing"
"4900552192","20070601","0","1469.1","0",""
"4900552194","20070601","0","879.9","0",""
"4900552195","20070601","0","1542.9","0",""
"4900551158","20070801","0","291.09","0",""
"4900552196","20070601","0","1721.1","459",""
"4900552198","20070601","0","2118.9","215.1",""
"4900552199","20070601","0","1932.9","0",""
"4900552200","20070601","0","1757.1","0",""
"4900552202","20070601","0","1155","0",""
"4900552203","20070601","0","960.9","315",""
"4900552205","20070601","0","2028.9","0",""
"4900552207","20070601","0","375","77.1",""
"4900552208","20070601","0","1592.1","0",""
"4900552210","20070601","0","1637.1","608.1",""
"4900552211","20070601","0","2262","375",""
"4900552213","20070601","0","327","896.1",""
"4900552214","20070601","0","2624.1","0",""
"4900552215","20070601","0","1911.9","0",""
"4900552217","20070601","0","2976.9","8.1",""
"4900552218","20070601","0","1500","288",""
"4900552220","20070601","0","543.9","803.1",""
"4900552221","20070601","0","633.9","189.9",""
"4900552222","20070601","0","1467.9","822.9",""
"4900552223","20070601","0","1875.9","60",""
"4900552275","20070601","0","2756.1","822.9",""
"4900552276","20070601","0","2724.9","342",""
"4900552839","20091001","0","38.13","0",""
"4900552842","20100301","0","3.1","0",""
"4900552624","20070901","0","360","743.1",""
"4900552843","20140801","0","368.9","692.85",""
"4900552847","20100601","0","3.9","0",""
"4900552848","20100701","0","66.03","0",""
"4900552850","20140601","0",".9","0",""
"4900552852","20130401","0","71.1","0",""
"4900552855","20140801","0","110.98","0",""
"4900552856","20101101","0","15","0",""
"4900552857","20050701","0","87.11","2621.05",""
"4900552861","20110101","0","61.07","0",""
"4900552625","20061101","0","0","3534",""
"4900552626","20070901","0","1268.1","1500",""
"4900552629","20070901","0","0","1049.1",""
"4900552862","20130401","0","45.9","0",""
"4900552874","20110101","0","78.12","0",""
"4900543146","20070801","0","434","16802",""
"4900553256","20070701","0","2285.01","0",""
"4900553257","20070701","0","1458.86","6709.02",""
"4900552632","20060501","0","0","106.02",""
"4900552633","20070901","0","21.9","0",""
"4900552935","20070901","0","108","0",""
"4900552937","20070901","0","189.9","0",""
"4900553246","20070801","0","2233.86","1053.07",""
"4900553275","20070801","0","2465.12","0",""
"4900553276","20070801","0","2161.94","729.12",""
"4900553277","20070801","0","1535.12","248.93",""
"4900537176","20070801","0","1415.15","2764.89",""
"4900537230","20010901","0","129.9","1986.9",""
"4900553278","20070801","0","1009.05","0",""
"4900537234","20070801","0","4066.89","0",""
"4900553279","20070801","0","1303.86","590.86",""
"4900553280","20070801","0","762.91","837",""
"4900553281","20070801","0","1191.02","965.96",""
"4900553771","20061101","0","0","387",""
"4900553259","20070701","0","3909.1","0",""
"4900531499","20070801","0","265.05","0",""
"4900531702","20070801","0","594.89","0",""
"4900531703","20070801","0","661.85","0",""
"4900531705","20070801","0","333.87","0",""
"4900541984","20070801","0","744","0",""
"4900545297","20070801","0","664.95","0",""
"4900538808","20070801","0","0","305.97",""
"4900541462","20070801","0","816.85","0",""
"4900538809","20070801","0","0","522.97",""
"4900545298","20070801","0","140.12","0",""
"4900545299","20070801","0","1715.85","0",""
"4900541467","20051001","0","0","344.1",""
"4900536796","20010401","0","479.1","10836",""
"4900553772","20060801","0","1620.06","1666.87",""
"4900553773","20070701","0","233.12","625.89",""
"4900553774","20061101","0","0","1701",""
"4900536942","20070801","0","0","2577.96",""
"4900535418","20070801","0","314.03","2103.04",""
"4900535419","20070401","0","0","2.1",""
"4900535802","20070501","0","0","1.86",""
"4900535803","20070801","0","0","14.88",""
"4900538811","20070801","0","0","2162.87",""
"4900538812","20070501","0","12.09","222.89",""
"4900535728","20070801","0","8.06","0",""
"4900535755","20060601","0","179.1","0",""
"4900535721","20070801","0","1882.94","0",""
"4900539302","20070801","0","0","1798.93",""
"4900539304","20070801","0","0","943.02",""
"4900541657","20051101","0","0","3",""
"4900539306","20070801","0","0","1014.01",""
"4900540457","20070701","0","0","4.03",""
"4900540459","20070801","0","0","1325.87",""
"4900540463","20070601","0","3","0",""
"4900540464","20070501","0","97.96","0",""
"4900535804","20070801","0","398.04","394.01",""
"4900535805","20070801","0","0","5631.15",""
"4900535881","20070101","0","89.9","0",""
"4900535900","20010301","0","500.96","93",""
"4900548671","20031101","0","198.9","5846.1",""
"4900544324","20070901","0","813.9","0",""
"4900540467","20070701","0","3.1","4.96",""
"4900531706","20070801","0","155.93","10602",""
"4900531881","20040501","0","745.86","0",""
"4900533423","20070601","0","1505.1","0",""
"4900533424","20031201","0","79.98","0",""
"4900535722","20070801","0","806.93","0",""
"4900538911","20070301","0","0","114.08",""
"4900539159","20070201","0","0","12.88",""
"4900545300","20070801","0","75.95","0",""
"4900545301","20070801","0","70.99","0",""
"4900545302","20070801","0","220.1","0",""
"4900545303","20070801","0","0","31.93",""
"4900553258","20070701","0","1873.95","9068.12",""
"4900544029","20070801","0","146.01","54.87",""
"4900544031","20070801","0","109.12","88.97",""
"4900544033","20070801","0","425.94","695.95",""
"4900544034","20070801","0","416.95","330.15",""
"4900544697","20070801","0","299.15","565.13",""
"4900544899","20050901","0","6.9","0",""
"4900535901","20070801","0","614.11","0",""
"4900535903","20061001","0","0","57.97",""
"4900535904","20070801","0","601.09","2144.89",""
"4900535912","20050801","0","1611.07","0",""
"4900535913","20041201","0","0","38.13",""
"4900535914","20070601","0","0","1410",""
"4900535915","20060401","0","396.9","0",""
"4900539308","20070801","0","435.86","0",""
"4900539533","20070801","0","532.89","721.06",""
"4900539960","20070801","0","1602.08","4257.85",""
"4900539542","20070801","0","5.89","0",""
"4900539544","20030601","0","0","1203.9",""
"4900535735","20051101","0","0","110.1",""
"4900541658","20070801","0","0","810.03",""
"4900541659","20070801","0","215.14","217",""
"4900545006","20070801","0","17.98","827.08",""
"4900539546","20070801","0","16.12","288.92",""
"4900543978","20070901","0","636.9","2790",""
"4900535918","20060801","0","0","5.89",""
"4900535919","20070801","0","0","691.92",""
"4900535920","20060901","0","0","5049.9",""
"4900535922","20040701","0","0","36.89",""
